sku,name,quantity,price
S0000000,Item 0,327,22.27
S0000001,Item 1,379,55.01
S0000002,Item 2,114,27.91
S0000003,Item 3,52,135.34
S0000004,Item 4,456,109.07
S0000005,Item 5,302,84.38
S0000006,Item 6,15,18.74
S0000007,Item 7,119,101.07
S0000008,Item 8,13,112.25
S0000009,Item 9,366,129.98
S0000010,Item 10,279,83.9
S0000011,Item 11,229,117.85
S0000012,Item 12,414,173.86
S0000013,Item 13,388,161.16
S0000014,Item 14,357,84.52
S0000015,Item 15,142,31.1
S0000016,Item 16,490,152.7
S0000017,Item 17,52,18.55
S0000018,Item 18,49,71.8
S0000019,Item 19,176,120.75
S0000020,Item 20,413,8.69
S0000021,Item 21,235,107.25
S0000022,Item 22,498,184.46
S0000023,Item 23,40,110.41
S0000024,Item 24,424,125.73
S0000025,Item 25,453,172.34
S0000026,Item 26,295,38.46
S0000027,Item 27,35,9.16
S0000028,Item 28,116,154.61
S0000029,Item 29,40,171.06
S0000030,Item 30,443,20.2
S0000031,Item 31,142,90.68
S0000032,Item 32,427,72.97
S0000033,Item 33,189,71.05
S0000034,Item 34,343,53.4
S0000035,Item 35,479,136.71
S0000036,Item 36,36,121.83
S0000037,Item 37,87,106.83
S0000038,Item 38,125,32.68
S0000039,Item 39,194,53.99
S0000040,Item 40,473,128.0
S0000041,Item 41,285,43.92
S0000042,Item 42,166,168.57
S0000043,Item 43,397,11.19
S0000044,Item 44,420,6.42
S0000045,Item 45,161,80.23
S0000046,Item 46,33,42.2
S0000047,Item 47,482,113.44
S0000048,Item 48,367,62.94
S0000049,Item 49,335,99.85
S0000050,Item 50,452,182.91
S0000051,Item 51,234,28.57
S0000052,Item 52,71,49.33
S0000053,Item 53,287,107.8
S0000054,Item 54,382,116.92
S0000055,Item 55,459,116.71
S0000056,Item 56,185,43.86
S0000057,Item 57,70,101.91
S0000058,Item 58,46,151.16
S0000059,Item 59,440,21.93
S0000060,Item 60,321,32.0
S0000061,Item 61,348,84.43
S0000062,Item 62,32,76.95
S0000063,Item 63,305,199.22
S0000064,Item 64,270,50.28
S0000065,Item 65,283,172.16
S0000066,Item 66,5,136.06
S0000067,Item 67,58,136.34
S0000068,Item 68,274,150.18
S0000069,Item 69,393,128.19
S0000070,Item 70,57,58.7
S0000071,Item 71,80,90.74
S0000072,Item 72,488,144.42
S0000073,Item 73,368,52.68
S0000074,Item 74,256,152.39
S0000075,Item 75,259,182.53
S0000076,Item 76,445,125.06
S0000077,Item 77,430,127.79
S0000078,Item 78,311,39.78
S0000079,Item 79,191,152.5
S0000080,Item 80,276,190.7
S0000081,Item 81,472,106.07
S0000082,Item 82,0,119.79
S0000083,Item 83,250,3.9
S0000084,Item 84,475,72.6
S0000085,Item 85,425,161.35
S0000086,Item 86,122,11.59
S0000087,Item 87,449,113.47
S0000088,Item 88,40,17.13
S0000089,Item 89,248,163.2
S0000090,Item 90,500,152.12
S0000091,Item 91,392,25.15
S0000092,Item 92,337,95.06
S0000093,Item 93,281,33.03
S0000094,Item 94,270,174.49
S0000095,Item 95,216,192.87
S0000096,Item 96,475,107.86
S0000097,Item 97,373,137.97
S0000098,Item 98,365,62.34
S0000099,Item 99,343,129.98
S0000100,Item 100,224,179.92
S0000101,Item 101,231,24.2
S0000102,Item 102,115,12.81
S0000103,Item 103,10,117.66
S0000104,Item 104,117,117.69
S0000105,Item 105,3,14.2
S0000106,Item 106,323,11.77
S0000107,Item 107,34,181.08
S0000108,Item 108,440,66.09
S0000109,Item 109,263,47.6
S0000110,Item 110,342,97.08
S0000111,Item 111,276,26.46
S0000112,Item 112,478,176.48
S0000113,Item 113,295,94.53
S0000114,Item 114,401,94.59
S0000115,Item 115,208,38.08
S0000116,Item 116,49,131.8
S0000117,Item 117,181,84.72
S0000118,Item 118,239,172.77
S0000119,Item 119,27,134.67
S0000120,Item 120,330,19.68
S0000121,Item 121,206,145.64
S0000122,Item 122,409,172.33
S0000123,Item 123,127,38.32
S0000124,Item 124,274,89.72
S0000125,Item 125,216,36.7
S0000126,Item 126,236,49.96
S0000127,Item 127,472,15.08
S0000128,Item 128,413,172.27
S0000129,Item 129,281,19.58
S0000130,Item 130,333,199.86
S0000131,Item 131,428,2.95
S0000132,Item 132,47,185.27
S0000133,Item 133,434,47.28
S0000134,Item 134,208,97.13
S0000135,Item 135,109,172.93
S0000136,Item 136,462,11.73
S0000137,Item 137,194,0.43
S0000138,Item 138,199,53.04
S0000139,Item 139,401,157.03
S0000140,Item 140,146,84.6
S0000141,Item 141,490,146.1
S0000142,Item 142,401,111.15
S0000143,Item 143,367,97.33
S0000144,Item 144,97,59.34
S0000145,Item 145,495,11.7
S0000146,Item 146,376,108.44
S0000147,Item 147,382,62.72
S0000148,Item 148,25,116.84
S0000149,Item 149,257,183.88
S0000150,Item 150,271,31.49
S0000151,Item 151,491,101.57
S0000152,Item 152,435,37.16
S0000153,Item 153,304,13.59
S0000154,Item 154,441,47.04
S0000155,Item 155,61,188.32
S0000156,Item 156,291,49.24
S0000157,Item 157,304,7.95
S0000158,Item 158,41,83.84
S0000159,Item 159,298,113.05
S0000160,Item 160,161,186.94
